3160 6547 9994 13431 16605 19633 22685 25981 30042 34107 38169 42232 46295 50355 54414 58480 62545 66612 70680 74747 78812 82879 86944 91008 95076 99140 103206 107268 111278 115312
3149 6563 10043 13496 16923 20329 23782 27894 32440 36990 41544 46096 50646 55195 59746 64293 68791 73341 77508 82067 86628 91185 95296 99246 103201 107306 111866 116423 120981 125073
3152 6549 10014 13460 16872 20269 23713 27790 32334 36879 41417 45950 50488 55025 59559 64095 68630 73169 77709 82251 86794 91335 95872 100414 104960 109508 114049 118597 123146 125073
3123 6484 9919 13340 16724 20093 23489 27468 31983 36495 41008 45517 50031 54542 59057 63567 68079 72592 77103 81613 86123 90635 95145 99654 104163 108671 113181 117690 122200 125073
3119 6458 9898 13298 16676 20038 23405 27369 31882 36389 40893 45401 49908 54423 58941 63458 67978 72486 76992 81500 86006 90523 95038 99553 104070 108586 113100 117617 122132 125073
3140.600 6520.200 9973.600 13405.000 16760.000 20072.400 23414.800 27300.400 31736.200 36172.000 40606.200 45039.200 49473.600 53908.000 58343.400 62778.600 67204.600 71640.000 75998.400 80435.600 84872.600 89311.400 93659.000 97975.000 102294.000 106642.200 111080.400 115519.000 119947.400 123120.800
16.451 41.373 55.787 74.372 119.574 244.612 390.376 687.849 872.374 1056.846 1242.619 1427.301 1612.850 1799.725 1987.536 2171.978 2350.448 2535.115 2671.996 2857.850 3044.739 3231.130 3369.813 3504.636 3651.769 3816.565 3998.180 4182.945 4388.725 3904.400
