3238 6622 10076 13432 16558 19583 22618 25897 29959 34023 38085 42147 46209 50270 54329 58394 62459 66525 70593 74660 78725 82792 86857 90921 94989 99053 103119 107181 111191
3224 6634 10110 13507 16887 20262 23646 27812 32358 36908 41462 46014 50563 55112 59662 64209 68707 73256 77423 81982 86543 91100 95209 99159 103113 107219 111779 116335 120894
3225 6625 10091 13466 16824 20198 23583 27708 32252 36797 41334 45866 50404 54941 59475 64011 68545 73084 77624 82166 86708 91249 95785 100327 104872 109421 113962 118510 123059
3187 6566 9993 13331 16670 19986 23380 27386 31901 36412 40924 45433 49947 54458 58973 63481 67993 72506 77017 81527 86036 90547 95058 99566 104076 108584 113094 117602 122113
3182 6554 9961 13297 16618 19940 23309 27287 31800 36306 40810 45318 49825 54340 58857 63374 67894 72402 76908 81415 85920 90437 94952 99467 103984 108499 113013 117530 122045
3211.200 6600.200 10046.200 13406.600 16711.400 19993.800 23307.200 27218.000 31654.000 36089.200 40523.000 44955.600 49389.600 53824.200 58259.200 62693.800 67119.600 71554.600 75913.000 80350.000 84786.400 89225.000 93572.200 97888.000 102206.800 106555.200 110993.400 115431.600 119860.400
22.409 33.277 58.403 79.976 124.486 238.889 366.374 688.616 872.762 1057.525 1243.097 1428.042 1613.838 1800.320 1987.932 2172.624 2350.971 2535.900 2672.784 2858.564 3045.170 3231.480 3369.895 3504.631 3651.670 3816.565 3998.180 4182.798 4388.725
